Team,Player,Goals,Points,GP,TOI,Pos,Point.Shares
Arizona Coyotes,Lawson Crouse,5,12,72,856,LW,-0.3
Arizona Coyotes,Peter Holland,5,11,40,526,C,0.3
Arizona Coyotes,Josh Jooris,3,10,42,555,RW,0.4
Arizona Coyotes,Brad Richardson,5,9,16,246,RW,1.1
Arizona Coyotes,Michael Stone,1,9,45,910,D,1.6
Arizona Coyotes,Luke Schenn,1,8,78,1408,D,1.7
Arizona Coyotes,Christian Fischer,3,3,7,86,RW,0.5
Arizona Coyotes,Laurent Dauphin,2,3,24,262,C,0
Arizona Coyotes,Clayton Keller,0,2,3,38,LW,0
Arizona Coyotes,Teemu Pulkkinen,1,1,4,39,LW,0.1
Arizona Coyotes,Kevin Connauton,0,1,24,315,D,0.4
Arizona Coyotes,Tyler Gaudet,0,1,4,52,C,0
Arizona Coyotes,Dylan Strome,0,1,7,96,C,-0.3
Arizona Coyotes,Louis Domingue,0,0,31,1599,G,4.6
Arizona Coyotes,Marek Langhamer,0,0,1,16,G,0
Arizona Coyotes,Jamie McBain,0,0,3,50,D,0
Arizona Coyotes,Zbynek Michalek,0,0,3,53,D,0.1
Arizona Coyotes,Justin Peters,0,0,3,133,G,0.3
Arizona Coyotes,Mike Smith,0,0,55,3202,G,10.9
