Overall,Team,Player,PS
251,Detroit Red Wings,Todd Jackson,0
252,Colorado Avalanche,Darryl Bootland,0
253,Florida Panthers,Mathew Sommerfeld,0
254,Toronto Maple Leafs,Alexander Shinkar,0
255,Minnesota Wild,Eric Johansson,0
256,San Jose Sharks,Pasi Saarinen,0
257,New Jersey Devils,Warren McCutcheon,0
258,Buffalo Sabres,Sean McMorrow,0
259,Philadelphia Flyers,Regan Kelly,0
260,Detroit Red Wings,Yevgeny Bumagin,0
261,St. Louis Blues,Reinhard Divis,1.8
262,Chicago Blackhawks,Peter Flache,0
263,Tampa Bay Lightning,Thomas Ziegler,-0.1
264,New York Islanders,Dmitri Altarev,0
265,Toronto Maple Leafs,Jean-Philippe Cote,0.8
266,Colorado Avalanche,Sean Kotary,0
267,New York Islanders,Tomi Pettinen,0.1
268,Boston Bruins,Pavel Kolarik,0
269,New York Rangers,Martin Richter,0
270,Calgary Flames,Micki DuPont,0.4
271,Chicago Blackhawks,Reto Von Arx,0.2
272,Vancouver Canucks,Tim Smith,0
273,Pittsburgh Penguins,Roman Simicek,1
274,Edmonton Oilers,Yevgeny Muratov,0
275,Montreal Canadiens,Jonathan Gauthier,0
276,Carolina Hurricanes,Troy Ferguson,0
277,Buffalo Sabres,Ryan Courtney,0
278,Columbus Blue Jackets,Martin Paroulek,0
279,Boston Bruins,Andreas Lindstrom,0
280,Pittsburgh Penguins,Nick Boucher,0
281,Phoenix Coyotes,Peter Fabus,0
282,Los Angeles Kings,Carl Grahn,0
283,Ottawa Senators,James Demone,0
284,Nashville Predators,Martin Hohener,0
285,Colorado Avalanche,Blake Ward,0
286,Columbus Blue Jackets,Andrej Nedorost,0
287,Philadelphia Flyers,Milan Kopecky,0
288,Atlanta Thrashers,Mark McRae,0
289,Washington Capitals,Bjorn Nord,0
290,Atlanta Thrashers,Simon Gamache,0.7
291,Chicago Blackhawks,Arne Ramholt,0
292,Columbus Blue Jackets,Louis Mandeville,0
293,St. Louis Blues,Lauri Kinos,0
